c Graph Generator
c
c By: Mark Brockington (brock@cs.ualberta.ca)
c and Joe Culberson (joe@cs.ualberta.ca)
c
c Graph Size:140, Clique Size: 4
c Seed:0, Edge Density:  0.50000
c Depth 0 Hiding
c
c Clique Elements are:
c 130 131 57 92 
c
c Estimated Size of Uncompressed File:   0.0MB
c
p edge 140 4905
e 2 1
e 3 1
e 4 1
e 4 2
e 5 2
e 6 3
e 6 5
e 7 1
e 7 4
e 7 5
e 8 2
e 8 4
e 8 6
e 8 7
e 9 4
e 9 5
e 9 8
e 10 1
e 10 2
e 10 6
e 10 7
e 10 8
e 10 9
e 11 2
e 11 3
e 11 6
e 11 7
e 11 8
e 12 1
e 12 3
e 12 4
e 12 6
e 12 8
e 13 1
e 13 2
e 13 3
e 13 5
e 13 8
e 13 9
e 13 11
e 14 1
e 14 5
e 14 6
e 14 10
e 14 11
e 14 12
e 15 2
e 15 5
e 15 6
e 15 7
e 15 9
e 15 10
e 15 11
e 15 13
e 15 14
e 16 1
e 16 3
e 16 4
e 16 5
e 16 7
e 16 10
e 16 11
e 16 13
e 16 15
e 17 1
e 17 5
e 17 6
e 17 7
e 17 10
e 17 12
e 17 13
e 17 14
e 17 15
e 17 16
e 18 2
e 18 4
e 18 5
e 18 6
e 18 9
e 18 10
e 18 11
e 18 15
e 18 16
e 18 17
e 19 2
e 19 3
e 19 5
e 19 6
e 19 7
e 19 9
e 19 11
e 19 13
e 19 14
e 19 17
e 20 1
e 20 4
e 20 6
e 20 7
e 20 8
e 20 12
e 20 15
e 20 19
e 21 2
e 21 3
e 21 7
e 21 8
e 21 9
e 21 10
e 21 12
e 21 16
e 21 17
e 21 20
e 22 2
e 22 3
e 22 5
e 22 7
e 22 8
e 22 10
e 22 11
e 22 12
e 22 14
e 22 17
e 22 18
e 22 20
e 22 21
e 23 1
e 23 3
e 23 4
e 23 5
e 23 6
e 23 8
e 23 9
e 23 10
e 23 11
e 23 14
e 23 20
e 24 1
e 24 2
e 24 4
e 24 5
e 24 6
e 24 7
e 24 12
e 24 13
e 24 15
e 24 16
e 24 17
e 24 18
e 24 19
e 24 21
e 24 22
e 24 23
e 25 1
e 25 4
e 25 6
e 25 7
e 25 13
e 25 16
e 25 19
e 25 21
e 25 22
e 25 23
e 26 3
e 26 5
e 26 6
e 26 8
e 26 9
e 26 13
e 26 16
e 26 17
e 26 19
e 26 20
e 26 21
e 26 22
e 26 23
e 26 24
e 27 1
e 27 3
e 27 11
e 27 12
e 27 13
e 27 14
e 27 19
e 27 20
e 27 21
e 27 24
e 27 26
e 28 5
e 28 6
e 28 9
e 28 13
e 28 15
e 28 16
e 28 17
e 28 18
e 28 19
e 28 20
e 28 22
e 28 23
e 28 25
e 29 1
e 29 3
e 29 5
e 29 6
e 29 10
e 29 12
e 29 15
e 29 19
e 29 20
e 29 21
e 29 22
e 29 24
e 29 26
e 29 27
e 30 1
e 30 2
e 30 6
e 30 11
e 30 12
e 30 13
e 30 14
e 30 16
e 30 19
e 30 22
e 30 27
e 30 28
e 30 29
e 31 2
e 31 4
e 31 5
e 31 7
e 31 9
e 31 12
e 31 14
e 31 15
e 31 16
e 31 18
e 31 20
e 31 23
e 31 25
e 31 28
e 31 29
e 32 1
e 32 2
e 32 3
e 32 4
e 32 5
e 32 7
e 32 8
e 32 9
e 32 12
e 32 14
e 32 17
e 32 18
e 32 22
e 32 23
e 32 24
e 32 25
e 32 26
e 32 28
e 32 29
e 33 3
e 33 4
e 33 6
e 33 9
e 33 10
e 33 12
e 33 14
e 33 15
e 33 16
e 33 17
e 33 19
e 33 20
e 33 21
e 33 22
e 33 26
e 33 28
e 33 30
e 33 32
e 34 1
e 34 2
e 34 4
e 34 5
e 34 8
e 34 10
e 34 11
e 34 13
e 34 14
e 34 18
e 34 19
e 34 20
e 34 22
e 34 23
e 34 24
e 34 26
e 34 27
e 34 28
e 34 31
e 35 4
e 35 5
e 35 9
e 35 10
e 35 15
e 35 16
e 35 19
e 35 20
e 35 22
e 35 23
e 35 24
e 35 27
e 35 30
e 36 1
e 36 6
e 36 7
e 36 13
e 36 14
e 36 17
e 36 20
e 36 22
e 36 23
e 36 25
e 36 27
e 36 30
e 36 31
e 37 2
e 37 5
e 37 6
e 37 8
e 37 9
e 37 18
e 37 19
e 37 21
e 37 23
e 37 25
e 37 26
e 37 30
e 37 35
e 38 1
e 38 2
e 38 4
e 38 5
e 38 7
e 38 10
e 38 12
e 38 19
e 38 20
e 38 22
e 38 23
e 38 25
e 38 26
e 38 27
e 38 30
e 38 31
e 38 34
e 38 35
e 39 1
e 39 3
e 39 6
e 39 7
e 39 8
e 39 10
e 39 11
e 39 12
e 39 16
e 39 19
e 39 21
e 39 24
e 39 28
e 39 32
e 39 34
e 39 36
e 39 38
e 40 1
e 40 3
e 40 4
e 40 10
e 40 11
e 40 13
e 40 14
e 40 15
e 40 17
e 40 19
e 40 22
e 40 24
e 40 28
e 40 30
e 40 31
e 40 33
e 40 34
e 40 35
e 40 36
e 40 37
e 41 1
e 41 4
e 41 7
e 41 10
e 41 11
e 41 15
e 41 16
e 41 17
e 41 18
e 41 19
e 41 23
e 41 24
e 41 26
e 41 27
e 41 29
e 41 30
e 41 31
e 41 32
e 41 34
e 41 35
e 41 40
e 42 1
e 42 3
e 42 4
e 42 5
e 42 8
e 42 10
e 42 11
e 42 13
e 42 14
e 42 15
e 42 16
e 42 18
e 42 20
e 42 21
e 42 22
e 42 23
e 42 25
e 42 27
e 42 29
e 42 32
e 42 33
e 42 34
e 42 35
e 42 36
e 42 38
e 42 41
e 43 1
e 43 2
e 43 7
e 43 9
e 43 11
e 43 13
e 43 17
e 43 18
e 43 19
e 43 20
e 43 22
e 43 24
e 43 25
e 43 27
e 43 28
e 43 31
e 43 32
e 43 33
e 43 34
e 43 35
e 43 38
e 43 41
e 44 2
e 44 6
e 44 10
e 44 12
e 44 13
e 44 15
e 44 16
e 44 19
e 44 22
e 44 26
e 44 29
e 44 30
e 44 31
e 44 33
e 44 34
e 44 35
e 44 36
e 44 37
e 44 38
e 44 40
e 44 43
e 45 2
e 45 3
e 45 5
e 45 7
e 45 8
e 45 9
e 45 12
e 45 14
e 45 15
e 45 18
e 45 22
e 45 23
e 45 24
e 45 26
e 45 28
e 45 30
e 45 31
e 45 32
e 45 34
e 45 38
e 45 40
e 46 2
e 46 3
e 46 4
e 46 6
e 46 8
e 46 9
e 46 10
e 46 11
e 46 12
e 46 13
e 46 14
e 46 15
e 46 16
e 46 17
e 46 20
e 46 23
e 46 26
e 46 27
e 46 28
e 46 29
e 46 31
e 46 33
e 46 35
e 46 39
e 46 40
e 46 43
e 46 44
e 47 2
e 47 3
e 47 4
e 47 5
e 47 7
e 47 11
e 47 15
e 47 17
e 47 20
e 47 23
e 47 24
e 47 30
e 47 34
e 47 37
e 47 44
e 48 1
e 48 4
e 48 6
e 48 7
e 48 8
e 48 11
e 48 12
e 48 15
e 48 19
e 48 21
e 48 22
e 48 24
e 48 26
e 48 27
e 48 30
e 48 31
e 48 32
e 48 33
e 48 35
e 48 36
e 48 38
e 48 39
e 48 42
e 48 43
e 48 45
e 48 46
e 48 47
e 49 1
e 49 2
e 49 3
e 49 4
e 49 5
e 49 8
e 49 9
e 49 11
e 49 18
e 49 25
e 49 26
e 49 28
e 49 29
e 49 30
e 49 32
e 49 35
e 49 36
e 49 40
e 49 44
e 49 47
e 49 48
e 50 1
e 50 5
e 50 7
e 50 9
e 50 10
e 50 11
e 50 14
e 50 17
e 50 18
e 50 22
e 50 26
e 50 27
e 50 28
e 50 30
e 50 32
e 50 34
e 50 36
e 50 37
e 50 38
e 50 40
e 50 41
e 50 42
e 50 45
e 50 46
e 51 1
e 51 6
e 51 7
e 51 10
e 51 13
e 51 14
e 51 16
e 51 17
e 51 18
e 51 19
e 51 21
e 51 23
e 51 24
e 51 25
e 51 29
e 51 30
e 51 33
e 51 34
e 51 35
e 51 37
e 51 38
e 51 40
e 51 43
e 51 44
e 51 46
e 51 49
e 51 50
e 52 6
e 52 10
e 52 17
e 52 18
e 52 19
e 52 22
e 52 23
e 52 25
e 52 30
e 52 31
e 52 33
e 52 35
e 52 37
e 52 38
e 52 41
e 52 42
e 52 43
e 52 44
e 52 45
e 52 48
e 52 49
e 52 50
e 52 51
e 53 1
e 53 4
e 53 5
e 53 8
e 53 10
e 53 11
e 53 12
e 53 14
e 53 15
e 53 19
e 53 20
e 53 21
e 53 22
e 53 23
e 53 25
e 53 26
e 53 27
e 53 28
e 53 30
e 53 35
e 53 36
e 53 37
e 53 39
e 53 40
e 53 41
e 53 43
e 53 46
e 53 48
e 53 49
e 53 50
e 53 52
e 54 1
e 54 3
e 54 5
e 54 8
e 54 11
e 54 15
e 54 16
e 54 22
e 54 23
e 54 24
e 54 27
e 54 28
e 54 31
e 54 32
e 54 33
e 54 34
e 54 40
e 54 41
e 54 43
e 54 44
e 54 45
e 54 47
e 54 49
e 54 53
e 55 3
e 55 4
e 55 7
e 55 9
e 55 10
e 55 13
e 55 15
e 55 16
e 55 18
e 55 20
e 55 21
e 55 22
e 55 23
e 55 24
e 55 25
e 55 27
e 55 30
e 55 33
e 55 34
e 55 38
e 55 41
e 55 42
e 55 44
e 55 45
e 55 50
e 55 52
e 55 54
e 56 9
e 56 15
